,Title,Price,Link
119,"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16â€‘core CPU and 40â€‘core GPU, 48GB Unified Memory, 1TB) - Space Black  ","3,79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MTQ3MDU5NDA3NTY1NDI6MTcyNTgyNTI4OTpzcF9idGY6MzAwMDg1NDAzMjE4NzMyOjowOjo&url=%2FApple-MacBook-16-inch-16%25E2%2580%2591core-40%25E2%2580%2591core%2Fdp%2FB0CM5SZ7CP%2Fref%3Dsr_1_22_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.4TcdBV6rJ2g3W2XVl6Dfn_2yNMdNLcWgET3y8BELnFZxm1fEl1kRPycwN6j8cBIap9LTLlWeHUqj4qKgPzG-Fh2SwvAcMuuKOxZ1SInGgqLRO0W8JqW1ghVWwTo_RoRLAv-TEt7Z6eBLtnvpePBjQ7k6HmSU83GNc8XavFFTDroJgzuAcRTQ7NFEZOhPa54pFvHbgK4ilOir1I4D3JfwSiphKu7U6XhEphyZTV-mVdo.U7iZuk8WzUCkj9pMkkAEkiqpgQaeo9mqEuajsPM41jE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725825289%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
137,"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 14â€‘core CPU and 30â€‘core GPU, 36GB Unified Memory, 1TB) - Space Black  ","3,28,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMTg3OTMxOTI0MjU4NzkwOjE3MjU4MjUyOTY6c3BfbXRmOjMwMDA4NTQwMzIxOTUzMjo6MDo6&url=%2FApple-MacBook-16-inch-14%25E2%2580%2591core-30%25E2%2580%2591core%2Fdp%2FB0CM5S7HF6%2Fref%3Dsr_1_28_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.0ICxCQpZx4t0b6e1R8licwlBrmf6SjgDu_S5uLfAIy3IxIL3fRkuePNkwF5o4fTbFckFATiXmZSsOo-UxKCxj2t6gtg1SPKPctPDSELsM-kTIYMIwr3syHz2tWYUQZOIGBtPYZonTLL3tYJPxjXMaVx4Q-RDg_HoVpnt1NJx_HXLxHNjzIH3kVq8tmX5-mJ-eN7NXuMGc7cjxg-RqcLrmCsWCISOvcC4IGicP20uOgQ.Q31262xUhIBrVMQokHSGBsMVwYm4X2H3KXqJF-PWVtw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725825296%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
38,"Apple 2023 MacBook Pro (16-inch, M3 Pro chip with 12â€‘core CPU and 18â€‘core GPU, 36GB Unified Memory, 512GB) - Space Black  ","2,79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3ODI0MzQyMjQxODg1OTg6MTcyNTgyNTMxODpzcF9hdGZfbmV4dDozMDAwODU0MDMyMTkwMzI6OjA6Og&url=%2FApple-MacBook-16-inch-12%25E2%2580%2591core-18%25E2%2580%2591core%2Fdp%2FB0CM5QWD5Q%2Fref%3Dsr_1_82_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.WSsrslSb5jyvJVlI_ZdsEHZSJKyx7hoYqUq0TGrElxVVR7ABuvpLj3RRVNCdLCDs6-_ephO9Lqn9N0AuZwYNIXkaeTtIVEaLTPoTt8LSLCDNy_0a3Bl_qx5UjYOBRzVSULJoY9dD4LQbR7KXl9vzzenpOvUs4XZGcaHflw6HMiCwGqtIZS7AUXVlrfoxrVESLQ0q24v4q19zTD-s3UBrokSJ_P08Txg60BRaFNFgydk.iJfOOwtpG9S6JJy5qLpXp0cJp3T7g3zl9Pey6t8Rf6U%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725825318%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
88,"Apple 2023 MacBook Pro (16-inch, M3 Pro chip with 12â€‘core CPU and 18â€‘core GPU, 18GB Unified Memory, 512GB) - Space Black  ","2,39,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NTY5ODk2NTU4NjM3NDQwOjE3MjU4MjUzMjM6c3BfYnRmOjMwMDA4NTQwMzIxOTMzMjo6MDo6&url=%2FApple-MacBook-16-inch-12%25E2%2580%2591core-18%25E2%2580%2591core%2Fdp%2FB0CM5QG1Y1%2Fref%3Dsr_1_118_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.MKshuMZZ4i-4YGxGa-N6jqcRuOxoIauDJYggxc56KksccLmTMw2vOqy1-YY8WKh_F0hLnBHqsHLw1L7fFF2SVa6m4TAgyLyz_0cyb2wGUCkW7WvWRrzYiuac9RWhSne4eQXcBYrOoiMnwfU5-m-lMlW97Mvq6zR9kt5hxwXiuQ3SKJtAMBRCb9v-0CKRHDgZIAqEIQVSBXWyg2K1pSRWAHJs4CdglLhXltgMpLSfeyM.akETlGFOhWWePVR3vbXiwW_kjXA_CQex4OPmHoKIn-w%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725825323%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-118-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
8,"Apple 2023 MacBook Pro (14-inch, M3 Pro chip with 12â€‘core CPU and 18â€‘core GPU, 18GB Unified Memory, 1TB) - Space Black  ","2,29,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4Njk0NjMyNTgyMzgyNDcxOjE3MjU4MjUzMTM6c3BfYXRmX25leHQ6MzAwMDg1NDAzMjE5ODMyOjowOjo&url=%2FApple-MacBook-14-inch-12%25E2%2580%2591core-18%25E2%2580%2591core%2Fdp%2FB0CM5R2QXS%2Fref%3Dsr_1_65_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.qlLaQj7bAi4wsOeViPvho3NGEMSqbA1SdO_Av7FRR14HvZ5FTrwvbnKwlK8-8hJphSUGTUSU8wil7nMpSoknTEA1-rpjUIRxx7HXLS3sN7ZezNwk_MEsQ57s0SFHPznBDpQ2iZhbSeBzjEPXqtVjLo5tDg6YlYU9CUQ4QBR7HL2nkGRWUoHlLarUB1pz13-pH8U7GOffdQZT-m7jDlIPERx0S41AmUP2hTIJ5KXjAGI.B_aGDxB96uoHCepREYAj40qNzi1Zrah3iuYgp34LWcw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725825313%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
37,"Apple 2023 MacBook Pro (14-inch, M3 Pro chip with 12â€‘core CPU and 18â€‘core GPU, 18GB Unified Memory, 1TB) - Silver  ","2,29,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3ODI0MzQyMjQxODg1OTg6MTcyNTgyNTMxODpzcF9hdGZfbmV4dDozMDAwODU0MDMyMTgxMzI6OjA6Og&url=%2FApple-MacBook-14-inch-12%25E2%2580%2591core-18%25E2%2580%2591core%2Fdp%2FB0CM5W2YDJ%2Fref%3Dsr_1_81_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.WSsrslSb5jyvJVlI_ZdsEHZSJKyx7hoYqUq0TGrElxVVR7ABuvpLj3RRVNCdLCDs6-_ephO9Lqn9N0AuZwYNIXkaeTtIVEaLTPoTt8LSLCDNy_0a3Bl_qx5UjYOBRzVSULJoY9dD4LQbR7KXl9vzzenpOvUs4XZGcaHflw6HMiCwGqtIZS7AUXVlrfoxrVESLQ0q24v4q19zTD-s3UBrokSJ_P08Txg60BRaFNFgydk.iJfOOwtpG9S6JJy5qLpXp0cJp3T7g3zl9Pey6t8Rf6U%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725825318%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
178,"Apple 2023 MacBook Pro (14-inch, M3 Pro chip with 11â€‘core CPU and 14â€‘core GPU, 18GB Unified Memory, 512GB) - Space Black  ","1,86,899",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDY0NjMwOTg3MDE3Njg2OjE3MjU4MjUzMDc6c3BfYXRmX25leHQ6MzAwMDg1NDAzMjE4MzMyOjowOjo&url=%2FApple-MacBook-14-inch-11%25E2%2580%2591core-14%25E2%2580%2591core%2Fdp%2FB0CM5SRXP8%2Fref%3Dsr_1_49_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.2htzDNal1n-JDwWegQDDHMl4bbzBpYK3EwxlXxjloaOebGusJIlaD2PYaB3KrTBWomM62MNgILzHzM5iQf4AoCOJC9NCVop1GNN1IgvbqcRTgdVv_c_U8Lq16G38yKEmWIQo0BDJZTelhkNn3X0wC8qPYL_jgiQmP75Re5z96nY5AWA4pt1LUn90NSaYpPr6fCIvzvDJ7kvt9vxvPL86JJX-TA2Bd3BDKTZ8qI6ovp8.qZIHBq6b9se1_xm9I7rDx6977lT8bBcA_usJCaf6ib8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725825306%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
65,"Apple 2023 MacBook Pro (14-inch, M3 chip with 8â€‘core CPU and 10â€‘core GPU, 8GB Unified Memory, 512GB) - Space Grey  ","1,55,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NTY5ODk2NTU4NjM3NDQwOjE3MjU4MjUzMjM6c3BfYXRmX25leHQ6MzAwMDg1NDAzMjE4NDMyOjowOjo&url=%2FApple-MacBook-14-inch-10%25E2%2580%2591core-Unified%2Fdp%2FB0CM5NR4SW%2Fref%3Dsr_1_97_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.MKshuMZZ4i-4YGxGa-N6jqcRuOxoIauDJYggxc56KksccLmTMw2vOqy1-YY8WKh_F0hLnBHqsHLw1L7fFF2SVa6m4TAgyLyz_0cyb2wGUCkW7WvWRrzYiuac9RWhSne4eQXcBYrOoiMnwfU5-m-lMlW97Mvq6zR9kt5hxwXiuQ3SKJtAMBRCb9v-0CKRHDgZIAqEIQVSBXWyg2K1pSRWAHJs4CdglLhXltgMpLSfeyM.akETlGFOhWWePVR3vbXiwW_kjXA_CQex4OPmHoKIn-w%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725825323%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
89,"Apple 2023 MacBook Pro (14-inch, M3 chip with 8â€‘core CPU and 10â€‘core GPU, 8GB Unified Memory, 512GB) - Silver  ","1,55,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDYyMjcxMjM1NjA2NTM2OjE3MjU4MjUzMjg6c3BfYXRmX25leHQ6MzAwMDg1NDAzMjE5MTMyOjowOjo&url=%2FApple-MacBook-14-inch-10%25E2%2580%2591core-Unified%2Fdp%2FB0CM5RTLM1%2Fref%3Dsr_1_113_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.wwky5_aRjtcJKeLtS1OBf_E9I63vIW3Y6YSnnjsbMx-GF7v0z1u5AFMMzb-Z07sV28-Ncoz4YzI3OWSB_B9XxydTulZid8yRUVg6peHuYnKjZgMOSWgdZAH9HGcPKsZp5uIiEbsH_gmFIqfWE1q158HykZ0l3rGv80gsSOvvvqyCfRL4VONMiFgQz2ImcWPbq0x6mDhNbdToYCBWK8vkQiuPV4S34Bk0yUgm2LdDf-0.lIKK6Ap2Dnv8ZiMxaigxo4wbsmBfxrLnyaqUg45sG5I%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725825328%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
11,"Lenovo Thinkpad P16s 13th Gen Intel Core i7 16""(40.64 cm) WUXGA IPS 300nits Thin and Light Workstation (16GB/1TB SSD/Windows 11 Pro/Backlit/Villi Black/3Y Premier Support/1.70Kg), 21HKS04W00  ","1,12,990",https://amazon.in//Lenovo-Thinkpad-300nits-Workstation-21HKS04W00/dp/B0D8L2HWCP/ref=sr_1_68?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.qlLaQj7bAi4wsOeViPvho3NGEMSqbA1SdO_Av7FRR14HvZ5FTrwvbnKwlK8-8hJphSUGTUSU8wil7nMpSoknTEA1-rpjUIRxx7HXLS3sN7ZezNwk_MEsQ57s0SFHPznBDpQ2iZhbSeBzjEPXqtVjLo5tDg6YlYU9CUQ4QBR7HL2nkGRWUoHlLarUB1pz13-pH8U7GOffdQZT-m7jDlIPERx0S41AmUP2hTIJ5KXjAGI.B_aGDxB96uoHCepREYAj40qNzi1Zrah3iuYgp34LWcw&dib_tag=se&keywords=laptop&qid=1725825313&sprefix=lap%2Caps%2C432&sr=8-68
